Time [us],Protocol,Packet Length (Layer 3) [Byte]
30001888,IEC 60870-5 ASDU,292
30001888,IEC 60870-5 ASDU,252
30044053,TCP,46
30101793,IEC 60870-5 ASDU,292
30101794,IEC 60870-5 ASDU,252
30201777,IEC 60870-5 ASDU,292
30201778,IEC 60870-5 ASDU,252
30311831,IEC 60870-5 ASDU,292
30311832,IEC 60870-5 ASDU,252
30401297,IEC 60870-5 ASDU,292
30401415,IEC 60870-5 ASDU,252
30453547,TCP,46
30501899,IEC 60870-5 ASDU,292
30501900,IEC 60870-5 ASDU,252
29201954,IEC 60870-5 ASDU,292
29201954,IEC 60870-5 ASDU,252
30711925,IEC 60870-5 ASDU,292
30711925,IEC 60870-5 ASDU,252
30802326,IEC 60870-5 ASDU,292
30802327,IEC 60870-5 ASDU,252
30843909,TCP,46
30901762,IEC 60870-5 ASDU,292
30901763,IEC 60870-5 ASDU,252
31001639,IEC 60870-5 ASDU,292
31001641,IEC 60870-5 ASDU,252
31111427,IEC 60870-5 ASDU,292
31111427,IEC 60870-5 ASDU,252
31201580,IEC 60870-5 ASDU,292
31201581,IEC 60870-5 ASDU,252
31243838,TCP,46
31301646,IEC 60870-5 ASDU,292
31301647,IEC 60870-5 ASDU,252
31401551,IEC 60870-5 ASDU,292
31401552,IEC 60870-5 ASDU,252
31511874,IEC 60870-5 ASDU,292
31511875,IEC 60870-5 ASDU,252
31601854,IEC 60870-5 ASDU,292
31601854,IEC 60870-5 ASDU,252
31633466,TCP,46
31701799,IEC 60870-5 ASDU,292
31701800,IEC 60870-5 ASDU,252
31801735,IEC 60870-5 ASDU,292
31801737,IEC 60870-5 ASDU,252
31911847,IEC 60870-5 ASDU,292
31911847,IEC 60870-5 ASDU,252
32001197,IEC 60870-5 ASDU,292
32001214,IEC 60870-5 ASDU,252
32043545,TCP,46
32101717,IEC 60870-5 ASDU,292
32101717,IEC 60870-5 ASDU,252
32201695,IEC 60870-5 ASDU,292
32201696,IEC 60870-5 ASDU,252
32302016,IEC 60870-5 ASDU,292
32302016,IEC 60870-5 ASDU,252
32401731,IEC 60870-5 ASDU,292
32401732,IEC 60870-5 ASDU,252
32443505,TCP,46
32501620,IEC 60870-5 ASDU,292
